Frame,Vehicle_Count,Density_Decision
211,10,Orta Yogunluk
212,10,Orta Yogunluk
213,7,Orta Yogunluk
214,7,Orta Yogunluk
215,7,Orta Yogunluk
216,8,Orta Yogunluk
217,8,Orta Yogunluk
218,8,Orta Yogunluk
219,8,Orta Yogunluk
220,8,Orta Yogunluk
221,8,Orta Yogunluk
222,7,Orta Yogunluk
223,7,Orta Yogunluk
224,7,Orta Yogunluk
225,8,Orta Yogunluk
226,8,Orta Yogunluk
227,8,Orta Yogunluk
228,8,Orta Yogunluk
229,8,Orta Yogunluk
230,8,Orta Yogunluk
231,6,Orta Yogunluk
232,6,Orta Yogunluk
233,6,Orta Yogunluk
234,8,Orta Yogunluk
235,8,Orta Yogunluk
236,8,Orta Yogunluk
237,6,Orta Yogunluk
238,6,Orta Yogunluk
239,6,Orta Yogunluk
240,7,Orta Yogunluk
241,7,Orta Yogunluk
242,7,Orta Yogunluk
243,7,Orta Yogunluk
244,7,Orta Yogunluk
245,7,Orta Yogunluk
246,9,Orta Yogunluk
247,9,Orta Yogunluk
248,9,Orta Yogunluk
249,7,Orta Yogunluk
250,7,Orta Yogunluk
251,7,Orta Yogunluk
252,5,Dusuk Yogunluk
253,5,Dusuk Yogunluk
254,5,Dusuk Yogunluk
255,9,Orta Yogunluk
256,9,Orta Yogunluk
257,9,Orta Yogunluk
258,6,Orta Yogunluk
259,6,Orta Yogunluk
260,6,Orta Yogunluk
261,8,Orta Yogunluk
262,8,Orta Yogunluk
263,8,Orta Yogunluk
264,9,Orta Yogunluk
265,9,Orta Yogunluk
266,9,Orta Yogunluk
267,8,Orta Yogunluk
268,8,Orta Yogunluk
269,8,Orta Yogunluk
270,6,Orta Yogunluk
271,6,Orta Yogunluk
272,6,Orta Yogunluk
273,9,Orta Yogunluk
274,9,Orta Yogunluk
275,9,Orta Yogunluk
276,11,Orta Yogunluk
277,11,Orta Yogunluk
278,11,Orta Yogunluk
279,10,Orta Yogunluk
280,10,Orta Yogunluk
281,10,Orta Yogunluk
282,12,Orta Yogunluk
283,12,Orta Yogunluk
284,12,Orta Yogunluk
285,11,Orta Yogunluk
286,11,Orta Yogunluk
287,11,Orta Yogunluk
288,11,Orta Yogunluk
289,11,Orta Yogunluk
290,11,Orta Yogunluk
291,11,Orta Yogunluk
292,11,Orta Yogunluk
293,11,Orta Yogunluk
294,12,Orta Yogunluk
295,12,Orta Yogunluk
296,12,Orta Yogunluk
297,11,Orta Yogunluk
298,11,Orta Yogunluk
299,11,Orta Yogunluk
300,12,Orta Yogunluk
301,12,Orta Yogunluk
302,12,Orta Yogunluk
303,10,Orta Yogunluk
304,10,Orta Yogunluk
305,10,Orta Yogunluk
306,8,Orta Yogunluk
307,8,Orta Yogunluk
